Hospital,Especialidade,Nota_Prova,Nota_Curriculo,Total
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,5.1,55.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,5,55.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,5,55.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,4.9,55.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,3.5,55.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,54,0.6,54.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,4.2,54.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,51.6,3,54.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,48,6.6,54.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,52.8,1.75,54.55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,5.3,54.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,4.8,54
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,46.8,7.2,54
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,4.5,53.7
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,4.3,53.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,48,5.3,53.3
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,48,5.2,53.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,46.8,6.4,53.2
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,45.6,7.5,53.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,48,4.8,52.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,46.8,5.8,52.6
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,48,4.55,52.55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,45.6,6.8,52.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,45.6,6.8,52.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,49.2,3.05,52.25
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,50.4,1.75,52.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,46.8,5.3,52.1
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,48,3.5,51.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,46.8,4.6,51.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,45.6,4.45,50.05
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,45.6,2.2,47.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,46.8,1,47.8
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,46.8,0.6,47.4
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia geral,45.6,1.1,46.7
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,72,7,79
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,60,7,67
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,63,2.15,65.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,60,4.5,64.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,54,8.5,62.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,57,3.5,60.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,51,7,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,54,4,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia pediátrica,48,1,49
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,72,8,80
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,69,10,79
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,66,9.5,75.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,63,10,73
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,66,7,73
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,66,6,72
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,66,4.5,70.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,60,10,70
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,60,10,70
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,63,7,70
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,66,4,70
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,66,2.5,68.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,60,8,68
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,57,10,67
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,66,0.15,66.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,63,3,66
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,60,4.5,64.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,57,6.5,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,57,6.5,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,9,63
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,8.5,62.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,57,5,62
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,7.5,61.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,57,4,61
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,9.5,60.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,57,3,60
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,8.5,59.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,8.5,59.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,8.5,59.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,4.5,58.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,4,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,7,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,10,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,10,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,4,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,7,58
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,6.5,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,9.5,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,3,57
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,3,57
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,54,3,57
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,6,57
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,6,57
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,7.5,55.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,10,55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,10,55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,4,55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,4,55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,5.5,53.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,8,53
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,4.5,52.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,51,1.15,52.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,4,52
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,6.5,51.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,3,51
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,3,51
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,3,51
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,3,51
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,48,2,50
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,3.5,48.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,3.15,48.15
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,3,48
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia plástica,45,3,48
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,72,3,75
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,63,9.5,72.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,60,7,67
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,60,6,66
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,60,6,66
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,60,5,65
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,51,8,59
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,51,6.5,57.5
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,51,4,55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,45,10,55
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,51,2,53
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,45,5,50
Faculd. Medicina da Univers. Federal de Uberlândia,cirurgia vascular,45,2,47
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,73.2,8.9,82.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,73.2,8.7,81.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,70.8,8.8,79.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,67.2,10,77.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,69.6,6.7,76.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,67.2,9.1,76.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,10,76
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,9.3,75.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,9.2,75.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,8.2,74.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,69.6,4,73.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,9.9,73.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,64.8,8.1,72.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,64.8,7.9,72.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,64.8,7.7,72.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,62.4,9.6,72
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,8.3,71.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,5.6,71.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,7.8,71.4
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,7.7,71.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,5.3,71.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,4.9,70.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,61.2,9.2,70.4
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,64.8,5.55,70.35
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,62.4,7.9,70.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,61.2,9.1,70.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,64.8,5.1,69.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,61.2,8.65,69.85
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,64.8,5,69.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,66,3.6,69.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,5.9,69.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,62.4,6.9,69.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,5.2,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,58.8,10,68.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,60,8.7,68.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,7.2,68.64
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,60,8.5,68.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,4.8,68.4
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,4.8,68.4
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,62.4,5.9,68.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,60,8.3,68.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,62.4,5.6,68
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,63.6,4.3,67.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,62.4,5.3,67.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,62.4,5.3,67.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,61.2,6.15,67.35
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,57.6,9,66.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,58.8,7.3,66.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,60,5.8,65.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,60,5.7,65.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,58.8,6.8,65.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,57.6,7.9,65.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,10,65.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,10,65.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,8.7,65.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,58.8,6.3,65.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,61.2,3.8,65
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,58.8,6.1,64.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,9.5,64.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,58.8,5.8,64.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,57.6,6.7,64.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,9.1,64.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,57.6,6.5,64.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,7.6,64
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,60,3.55,63.55
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,8.3,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,8.3,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,57.6,5.9,63.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,7,63.4
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,6.8,63.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,6.65,63.05
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,57.6,5.3,62.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,58.8,4,62.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,52.8,10,62.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,8.8,62.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,7.5,62.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,8.7,62.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,57.6,5.1,62.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,7.4,62.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,8.6,62.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,6.05,62.45
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,6,62.4
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,5.8,62.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,5.8,62.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,5.3,61.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,7.55,61.55
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,6.3,61.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,5.1,61.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,4.9,61.3
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,4.85,61.25
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,7,61
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,5.7,60.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,52.8,8.1,60.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,5.7,60.9
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,5.6,60.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,52.8,8,60.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,4.3,60.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,52.8,7.8,60.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,6.4,60.4
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,51.6,8.65,60.25
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,50.4,9.8,60.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,5,60.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,6.2,60.2
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,51.6,8.5,60.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,4.9,60.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,4.9,60.1
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,4.8,60
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,5.8,59.8
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,3.3,59.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,52.8,6.9,59.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,55.2,4.5,59.7
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,5.6,59.6
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,54,5.5,59.5
Faculd. Medicina da Univers. Federal de Uberlândia,clínica médica,56.4,3.05,59.45
